Date,FaceBook Close Price,Amazon Close Price,Netflix Close Price,Google Close Price
3/28/2014 ,60.01,338.29,51.27,559.51
3/31/2014 ,60.24,336.365,50.29,556.7
4/1/2014 ,62.62,342.99,52.1,566.88
4/2/2014 ,62.72,341.96,51.84,566.9824
4/3/2014 ,59.49,333.62,50.67,569.74
4/4/2014 ,56.749,323,48.19,543.14
4/7/2014 ,56.95,317.76,48.29,538.15
4/8/2014 ,58.1901,327.07,49.8414,554.9
4/9/2014 ,62.41,331.805,50.43,564.14
4/10/2014 ,59.16,317.11,47.82,540.95
4/11/2014 ,58.53,311.73,46.67,530.6
4/14/2014 ,58.89,315.91,47.37,532.52
4/15/2014 ,59.09,316.08,46.61,536.44
4/16/2014 ,59.72,323.68,47.34,556.54
4/17/2014 ,58.94,324.91,49.39,536.1
4/21/2014 ,61.24,330.87,49.78,528.62
4/22/2014 ,63.0301,329.32,53.27,534.81
4/23/2014 ,61.36,324.58,50.5,526.94
4/24/2014 ,60.87,337.15,49.153,525.16
4/25/2014 ,57.71,303.83,46.0114,516.18
4/28/2014 ,56.14,296.58,44.89,517.15
4/29/2014 ,58.15,300.38,45.7,527.7
4/30/2014 ,59.78,304.13,46.01,526.66
5/1/2014 ,61.15,307.89,48.074,531.35
5/2/2014 ,60.46,308.01,48.66,527.93
5/5/2014 ,61.22,310.05,49.2,527.81
5/6/2014 ,58.53,297.38,46.6,515.14
5/7/2014 ,57.39,292.71,45.791,509.96
5/8/2014 ,56.76,288.32,45.95,511
5/9/2014 ,57.24,292.24,46.94,518.73
5/12/2014 ,59.83,302.86,49.35,529.92
5/13/2014 ,59.83,304.64,49.59,533.09
5/14/2014 ,59.23,297.62,50.27,526.65
5/15/2014 ,57.919,295.19,49.17,519.98
5/16/2014 ,58.0199,297.7,49.98,520.63
5/19/2014 ,59.21,296.755,52.0714,528.86
5/20/2014 ,58.56,301.19,53.1,529.77
5/21/2014 ,60.49,305.01,55.8,538.94
5/22/2014 ,60.52,304.91,55.97,545.06
5/23/2014 ,61.351,312.24,57.479,552.7
5/27/2014 ,63.48,310.82,56.97,565.95
5/28/2014 ,63.51,310.16,57.32,561.68
5/29/2014 ,63.83,313.78,59.31,560.08
5/30/2014 ,63.3,312.55,59.69,559.89
6/2/2014 ,63.08,308.84,60.29,553.93
6/3/2014 ,62.87,307.19,59.65,544.94
6/4/2014 ,63.34,306.78,60.46,544.66
6/5/2014 ,63.186,323.57,61.19,553.9
6/6/2014 ,62.5,329.67,61.45,556.33
6/9/2014 ,62.88,327.5,60.44,562.12
6/10/2014 ,65.77,332.41,61.18,560.55
6/11/2014 ,65.781,335.2,61.43,558.84
6/12/2014 ,64.2901,325.91,60.35,551.35
6/13/2014 ,64.5,326.27,61.1,551.76
6/16/2014 ,64.19,327.62,61.47,544.28
6/17/2014 ,64.4,325.62,63.3786,543.01
6/18/2014 ,65.6,334.38,64.1,553.37
6/19/2014 ,64.3415,327,63.06,554.9
6/20/2014 ,64.5,324.2,62.88,556.36
6/23/2014 ,65.37,327.24,62.79,564.95
6/24/2014 ,65.72,324.16,62.34,564.62
6/25/2014 ,67.44,327.44,63.46,578.65
6/26/2014 ,67.13,325.69,62.8,576
6/27/2014 ,67.6,324.57,63.15,577.24
6/30/2014 ,67.29,324.78,62.943,575.28
7/1/2014 ,68.06,332.39,67.59,582.67
7/2/2014 ,66.45,332.85,66.68,582.335
7/3/2014 ,66.29,337.492,67.48,584.73
7/7/2014 ,65.29,333.55,65.8,582.25
7/8/2014 ,62.76,323.81,63.579,571.09
7/9/2014 ,64.97,329.97,63.29,576.08
7/10/2014 ,64.8725,327.92,62.65,571.1
7/11/2014 ,66.34,346.2,62.8514,579.18
7/14/2014 ,67.9,355.32,64.6543,584.87
7/15/2014 ,67.165,354.44,64.1557,584.78
7/16/2014 ,67.66,355.9,63.49,582.66
7/17/2014 ,66.4099,352.454,62.77,573.7299
7/18/2014 ,68.4199,358.66,63.453,595.08
7/21/2014 ,69.4,359.76,64.5643,589.47
7/22/2014 ,69.27,360.84,61.5843,594.74
